Country Name,Country Code,Series Name,Series Code,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.251596645,-1.420039655,-7.187110916,9.099999444,12.89080364,6.946216585,5.51466791,7.500041428,1.4172428,3.314980684
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,639.4847358,652.7743214,200.8522198,1009.977275,1033.242532,1126.68334,2373.581292,4370.539925,4247.630047,4124.05539
Albania,ALB,"Population, total",SP.POP.TOTL,2904429,3142336,3247039,3168033,3108778,3089027,3026939,2947314,2900401,2876101
Albania,ALB,Population growth (annual %),SP.POP.GROW,2.103936618,1.886710529,-0.606434726,-0.621511399,-0.633352274,-0.637356834,-0.417931378,-0.767342959,-0.16515104,-0.159880412
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,53698278906,59089067187,48003078389,46941582519,48640653469,54790392746,85332581189,1.71E+11,2.09E+11,1.60E+11
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.59999653,-1.00000549,1.800002303,4.09999847,3.200001552,3.8,4.3,2.4,3.4,3.2
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2467.346082,2417.376189,1776.028278,1603.940302,1588.348908,1765.027146,2610.185422,4923.631615,5592.220115,3946.452447
Algeria,DZA,"Population, total",SP.POP.TOTL,21763578,24443472,27028330,29266415,30623406,31042238,32692153,34730604,37383899,40551398
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.087593952,2.775856791,2.350383791,1.753199533,1.41627892,1.35841747,1.317809403,1.636169438,1.951463675,2.051352373
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,509000000,560000000,640000000,671000000
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,0.409836066,-2.657342657,-4.334828102,-1.679389313
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,8528.248777,9740.824491,11496.5241,12038.2497
American Samoa,ASM,"Population, total",SP.POP.TOTL,37946,44346,49900,54209,57049,57816,59684,57490,55669,55739
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,4.12382427,3.686386613,2.471165085,1.957833546,1.534972599,1.335500631,0.317170237,-1.513964199,-0.154365338,-0.120130903
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200,200,200,200,200,200,200,200,200,200
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,330070689.3,721425939.2,1210013652,1223945357,1239876305,1429049198,2894921778,4085630584,3188808943,2896679212
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.784686694,5.094326203,0.92921404,4.649738668,4.099078922,3.528362361,8.135676338,-5.559186369,-4.974443719,3.70967807
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,7728.906695,14304.6406,20549.80558,19016.28819,19262.30899,21854.2468,37966.18725,48719.65877,38686.46126,37475.63506
Andorra,AND,"Population, total",SP.POP.TOTL,42706,50433,58882,64363,64368,65390,76250,83860,82427,77295
Andorra,AND,Population growth (annual %),SP.POP.GROW,4.433468986,3.992764312,3.836105763,0.784574655,0.354842094,1.575272637,4.10952559,1.414681757,-1.589923668,-0.898980862
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470,470,470,470,470,470,470,470,470,470
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,6135166254,8775116269,..,7526963964,6152936539,9129634978,23552052408,88538611205,1.28E+11,1.01E+11
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.000002164,6.128890476,-5.838280733,13.54436976,2.181489718,3.054624234,10.95286177,11.16613833,8.542187643,-2.580049644
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,638.0990068,792.8330172,..,522.6796243,387.7851241,556.8386317,1255.564513,4080.941034,5100.097027,3506.073128
Angola,AGO,"Population, total",SP.POP.TOTL,9614756,11068051,12657361,14400722,15866871,16395477,18758138,21695636,25107925,28842482
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.564178612,3.48243869,3.280272449,3.214262263,3.249266492,3.277215347,3.452987549,3.710554891,3.597754539,3.378269432
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,208372846.3,398637727.8,499281481.5,633729629.6,766200000,826370370.4,919729629.6,1370070370,1199948148,1436585185
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.16499559,5.2132729,1.158475191,6.604459721,3.70761791,6.203431254,5.767028612,-0.014340652,3.3728662,5.496459204
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,3372.60207,6454.835451,7745.7218,9030.574978,10260.59941,10872.29295,11446.96914,16044.1058,13272.73494,15198.74297
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,61784,61758,64459,70176,74674,76007,80347,85394,90407,94520
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.008093038,0.072891613,1.71492679,2.166482523,1.967702252,1.769346866,1.297792207,1.611386336,1.288027737,1.00909459
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440,440,440,440,440,440,440,440,440,440
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,79092001998,1.26E+11,2.29E+11,2.72E+11,2.84E+11,2.84E+11,1.65E+11,3.62E+11,5.46E+11,5.58E+11
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.570738702,-1.089933342,7.937291556,5.526689827,-3.385457041,-0.788998939,9.029573301,4.057233103,-1.026420454,-2.080327844
